epoch,train_loss,train_acc,train_precision,train_recall,train_f1,val_loss,val_acc,val_precision,val_recall,val_f1,train_time_sec,val_time_sec,params,macs,flops
1,0.8861894459724426,0.7085,0.7063403276609888,0.7085,0.6927013269433798,0.41570639330893755,0.9,0.9074519968435837,0.9,0.8979316456217873,25.528629302978516,3.16998553276062,2330410,89764160.0,179528320.0
2,0.33779653829336165,0.9225,0.9277082626620878,0.9225,0.921608763292177,0.15560428285971284,0.964,0.9680194805194805,0.9640000000000001,0.964238912920624,25.43270206451416,3.239311933517456,2330410,89764160.0,179528320.0
3,0.11863636448979378,0.984,0.9846482490957367,0.984,0.9839814641155755,0.041575808252673596,0.998,0.998019801980198,0.998,0.99799994999875,25.5824236869812,3.371011972427368,2330410,89764160.0,179528320.0
4,0.04632886664569378,0.99775,0.997758051821146,0.9977499999999999,0.9977491959698721,0.019137329421937466,0.999,0.9990049751243781,0.999,0.998999993749961,24.8206787109375,2.922741413116455,2330410,89764160.0,179528320.0
5,0.02759118114411831,0.99925,0.9992515589926556,0.99925,0.9992499991210926,0.01627957509481348,0.998,0.9980049751243781,0.998,0.997999993749961,25.822147369384766,3.74544620513916,2330410,89764160.0,179528320.0
6,0.017982529304921627,1.0,1.0,1.0,1.0,0.009113148538745008,1.0,1.0,1.0,1.0,24.560868740081787,3.2349486351013184,2330410,89764160.0,179528320.0
7,0.014844950549304485,0.99875,0.9987499984374976,0.99875,0.9987498433593138,0.014305358155979775,0.998,0.998019801980198,0.998,0.9980024688587139,24.950555086135864,3.1463546752929688,2330410,89764160.0,179528320.0
8,0.014236585564911365,0.9995,0.9995012468827931,0.9995,0.9994999992187488,0.005163452442502603,1.0,1.0,1.0,1.0,25.191184997558594,3.5788414478302,2330410,89764160.0,179528320.0
9,0.008570142269134521,0.99975,0.9997503121098626,0.99975,0.9997499999023436,0.0038237080952967517,1.0,1.0,1.0,1.0,25.56856894493103,3.519608736038208,2330410,89764160.0,179528320.0
10,0.0063823767229914665,1.0,1.0,1.0,1.0,0.009575243551807944,0.997,0.9970443349753694,0.9969999999999999,0.9969998312405073,25.178340673446655,3.58994722366333,2330410,89764160.0,179528320.0
11,0.014913272932171822,0.9985,0.9985052778766145,0.9984999999999999,0.9985006180739375,0.0042727077670861036,1.0,1.0,1.0,1.0,25.151618003845215,3.2120604515075684,2330410,89764160.0,179528320.0
12,0.014997591037303208,0.99775,0.9977503011546647,0.9977500000000001,0.997749058783924,0.003553670074325055,1.0,1.0,1.0,1.0,25.02845287322998,3.799588918685913,2330410,89764160.0,179528320.0
13,0.007434456737712026,0.99925,0.9992499992187488,0.99925,0.9992498435546263,0.003548258428054396,0.999,0.9990049751243781,0.999,0.998999993749961,25.306838274002075,3.2495765686035156,2330410,89764160.0,179528320.0
14,0.004064031314104795,1.0,1.0,1.0,1.0,0.0026801130406965967,1.0,1.0,1.0,1.0,24.70111894607544,3.2477073669433594,2330410,89764160.0,179528320.0
15,0.002857921740040183,1.0,1.0,1.0,1.0,0.002805216354317963,0.999,0.9990049751243781,0.999,0.998999993749961,25.113877534866333,3.6144156455993652,2330410,89764160.0,179528320.0
16,0.0024211890902370217,1.0,1.0,1.0,1.0,0.002202996132837143,1.0,1.0,1.0,1.0,25.257981300354004,3.4900331497192383,2330410,89764160.0,179528320.0
17,0.0021216211467981337,1.0,1.0,1.0,1.0,0.0025446689141972456,0.999,0.9990049751243781,0.999,0.998999993749961,24.728438138961792,3.436243772506714,2330410,89764160.0,179528320.0
18,0.0018972528912127018,1.0,1.0,1.0,1.0,0.0016038633511925582,1.0,1.0,1.0,1.0,25.422656297683716,3.672450542449951,2330410,89764160.0,179528320.0
19,0.0017001501927152276,1.0,1.0,1.0,1.0,0.001625372797207092,1.0,1.0,1.0,1.0,25.29370093345642,3.409054756164551,2330410,89764160.0,179528320.0
20,0.0015443263305351138,1.0,1.0,1.0,1.0,0.0017910608403326478,1.0,1.0,1.0,1.0,24.873913049697876,2.9622268676757812,2330410,89764160.0,179528320.0
