epoch,train_loss,train_acc,train_precision,train_recall,train_f1,val_loss,val_acc,val_precision,val_recall,val_f1,train_time_sec,val_time_sec,params,macs,flops
1,1.326715111732483,0.4,0.4803571428571428,0.4,0.2944984927377364,1.1547244191169739,0.475,0.2907523510971787,0.475,0.3424908424908425,0.7160165309906006,0.10467696189880371,1503624,58834944.0,117669888.0
2,1.2192355394363403,0.45,0.2509090909090909,0.45,0.3111111111111111,1.087268590927124,0.475,0.2907523510971787,0.475,0.3424908424908425,0.733534574508667,0.1034400463104248,1503624,58834944.0,117669888.0
3,1.1911505222320558,0.4375,0.24564779182701119,0.4375,0.30507587650444795,1.0509706735610962,0.475,0.2907523510971787,0.475,0.3424908424908425,0.7334892749786377,0.1033940315246582,1503624,58834944.0,117669888.0
4,1.1728948593139648,0.4625,0.44583701521845853,0.4625,0.36646829817994664,1.0296942591667175,0.5,0.5438311688311689,0.5,0.39131920710868073,0.7288103103637695,0.10145783424377441,1503624,58834944.0,117669888.0
5,1.1579310655593873,0.475,0.47647116324535677,0.475,0.39367878348898677,1.0110313892364502,0.525,0.6695454545454546,0.525,0.46785714285714286,0.7317509651184082,0.10873913764953613,1503624,58834944.0,117669888.0
6,1.15158052444458,0.475,0.4651075268817204,0.475,0.38955884543399844,0.994207113981247,0.525,0.6695454545454546,0.525,0.46785714285714286,0.7478444576263428,0.10468339920043945,1503624,58834944.0,117669888.0
7,1.1298582553863525,0.4875,0.6382770930154239,0.4875,0.4016126551360527,0.982201874256134,0.5,0.6660839160839161,0.5,0.4264069264069264,0.7341387271881104,0.12940573692321777,1503624,58834944.0,117669888.0
8,1.1240566730499268,0.51875,0.6274243740049211,0.51875,0.44667399148033604,0.9602680206298828,0.575,0.7398715415019763,0.575,0.5411255411255411,0.7293479442596436,0.10294651985168457,1503624,58834944.0,117669888.0
9,1.0954780101776123,0.54375,0.6341700730182022,0.54375,0.48451616668323466,0.9377646148204803,0.65,0.775378787878788,0.65,0.6359203296703297,0.7317798137664795,0.10355162620544434,1503624,58834944.0,117669888.0
10,1.0742659091949462,0.575,0.691078431372549,0.575,0.515115533770741,0.9045244455337524,0.675,0.7872522214627479,0.6749999999999999,0.6613133316987272,0.7336390018463135,0.10789918899536133,1503624,58834944.0,117669888.0
11,1.0618470668792725,0.6,0.7031494522691706,0.6,0.5508516890095838,0.8687795996665955,0.75,0.8045454545454546,0.75,0.7371428571428571,0.7346105575561523,0.1047370433807373,1503624,58834944.0,117669888.0
12,1.0393916606903075,0.59375,0.6351157949518605,0.59375,0.5580040582455458,0.830996036529541,0.725,0.7863636363636364,0.725,0.7001465201465202,0.7302069664001465,0.1031332015991211,1503624,58834944.0,117669888.0
13,0.9925965070724487,0.625,0.6428519911390449,0.625,0.5982178102867758,0.798822432756424,0.775,0.8250000000000001,0.775,0.7716666666666667,0.7267115116119385,0.09995794296264648,1503624,58834944.0,117669888.0
14,0.9372979521751403,0.65,0.6891781006187785,0.65,0.6285531063866788,0.7790469527244568,0.775,0.8152597402597402,0.775,0.768452380952381,0.7456026077270508,0.10043597221374512,1503624,58834944.0,117669888.0
15,0.9253122329711914,0.6625,0.6645437895437895,0.6625,0.6486655654975704,0.7514957785606384,0.75,0.7583333333333334,0.75,0.7507575757575757,0.7355103492736816,0.10400986671447754,1503624,58834944.0,117669888.0
16,0.8832054257392883,0.6625,0.656552824997947,0.6625,0.6524989889417749,0.7257319688796997,0.775,0.8043650793650794,0.7749999999999999,0.7786635706914344,0.7293252944946289,0.1034688949584961,1503624,58834944.0,117669888.0
17,0.847612464427948,0.69375,0.6988302277432713,0.69375,0.6825613172098107,0.6888939142227173,0.75,0.7511363636363636,0.75,0.7476190476190476,0.7373180389404297,0.10928130149841309,1503624,58834944.0,117669888.0
18,0.8142983198165894,0.7125,0.7149527914614122,0.7125,0.7074214545577308,0.669386625289917,0.75,0.7619318181818181,0.75,0.7527777777777778,0.6796488761901855,0.09709882736206055,1503624,58834944.0,117669888.0
19,0.7841159343719483,0.7125,0.7092013888888888,0.7124999999999999,0.7063302194881141,0.597278892993927,0.825,0.8388888888888889,0.825,0.8291866028708135,0.7377371788024902,0.1049966812133789,1503624,58834944.0,117669888.0
20,0.7722326993942261,0.75,0.7564716395954847,0.75,0.7473690911516544,0.5747703015804291,0.85,0.8693181818181819,0.8500000000000001,0.8509039979628215,0.7369868755340576,0.10325026512145996,1503624,58834944.0,117669888.0
