subset_size,dataset,model,val_acc
50,REG,De-KAiT-Tiny,46.0
50,REG,De-KAiT-Small,48.0
50,TOR,De-KAiT-Tiny,90.0
50,TOR,De-KAiT-Small,94.0
50,VPN,De-KAiT-Tiny,85.0
50,VPN,De-KAiT-Small,92.5
100,REG,De-KAiT-Tiny,67.0
100,REG,De-KAiT-Small,70.0
100,TOR,De-KAiT-Tiny,95.0
100,TOR,De-KAiT-Small,99.0
100,VPN,De-KAiT-Tiny,83.75
100,VPN,De-KAiT-Small,83.75
200,REG,De-KAiT-Tiny,68.5
200,REG,De-KAiT-Small,79.0
200,TOR,De-KAiT-Tiny,99.5
200,TOR,De-KAiT-Small,99.5
200,VPN,De-KAiT-Tiny,91.25
200,VPN,De-KAiT-Small,94.375
400,REG,De-KAiT-Tiny,91.0
400,REG,De-KAiT-Small,93.0
400,TOR,De-KAiT-Tiny,99.5
400,TOR,De-KAiT-Small,99.5
400,VPN,De-KAiT-Tiny,99.375
400,VPN,De-KAiT-Small,99.6875
500,REG,De-KAiT-Tiny,92.0
500,REG,De-KAiT-Small,95.8
500,TOR,De-KAiT-Tiny,99.6
500,TOR,De-KAiT-Small,99.8
500,VPN,De-KAiT-Tiny,99.5
500,VPN,De-KAiT-Small,99.75
800,REG,De-KAiT-Tiny,96.25
800,REG,De-KAiT-Small,97.0
800,TOR,De-KAiT-Tiny,99.625
800,TOR,De-KAiT-Small,100.0
800,VPN,De-KAiT-Tiny,99.84375
800,VPN,De-KAiT-Small,99.84375
1000,REG,De-KAiT-Tiny,97.6
1000,REG,De-KAiT-Small,97.3
1000,TOR,De-KAiT-Tiny,100.0
1000,TOR,De-KAiT-Small,100.0
1000,VPN,De-KAiT-Tiny,99.875
1000,VPN,De-KAiT-Small,100.0
1500,REG,De-KAiT-Tiny,98.6
1500,REG,De-KAiT-Small,98.6
1500,TOR,De-KAiT-Tiny,100.0
1500,TOR,De-KAiT-Small,100.0
1500,VPN,De-KAiT-Tiny,100.0
1500,VPN,De-KAiT-Small,100.0
1600,REG,De-KAiT-Tiny,98.5625
1600,REG,De-KAiT-Small,98.625
1600,TOR,De-KAiT-Tiny,100.0
1600,TOR,De-KAiT-Small,100.0
1600,VPN,De-KAiT-Tiny,99.84375
1600,VPN,De-KAiT-Small,100.0
2000,REG,De-KAiT-Tiny,99.25
2000,REG,De-KAiT-Small,99.0
2000,TOR,De-KAiT-Tiny,100.0
2000,TOR,De-KAiT-Small,100.0
2000,VPN,De-KAiT-Tiny,100.0
2000,VPN,De-KAiT-Small,100.0
3200,REG,De-KAiT-Tiny,99.53125
3200,REG,De-KAiT-Small,99.5
3200,TOR,De-KAiT-Tiny,100.0
3200,TOR,De-KAiT-Small,100.0
3200,VPN,De-KAiT-Tiny,100.0
3200,VPN,De-KAiT-Small,100.0
