epoch,train_loss,train_acc,train_precision,train_recall,train_f1,val_loss,val_acc,val_precision,val_recall,val_f1,train_time_sec,val_time_sec,params,macs,flops
1,1.3144804239273071,0.375,0.32,0.375,0.33837535014005604,1.0534636974334717,0.575,0.49810606060606066,0.575,0.5014204545454546,1.6277849674224854,0.17789602279663086,4585448,171371520.0,342743040.0
2,1.1702104091644288,0.50625,0.4838430127041742,0.50625,0.4325686128602184,1.0003752708435059,0.525,0.46875,0.525,0.44404125286478224,1.6703157424926758,0.1957390308380127,4585448,171371520.0,342743040.0
3,1.1512007474899293,0.51875,0.5022794504684703,0.51875,0.4946969696969697,0.973518431186676,0.7,0.7107142857142857,0.7,0.6741883116883117,1.672386884689331,0.19505739212036133,4585448,171371520.0,342743040.0
4,1.1053359270095826,0.575,0.5753950834064969,0.5750000000000001,0.5352521310465236,0.938554435968399,0.675,0.78125,0.6749999999999999,0.6430375180375181,1.6878886222839355,0.19127893447875977,4585448,171371520.0,342743040.0
5,1.0655526399612427,0.56875,0.6887644787644788,0.56875,0.4945343032377692,0.8881761133670807,0.7,0.7693181818181819,0.7,0.6583549783549782,1.6678540706634521,0.19305658340454102,4585448,171371520.0,342743040.0
6,1.0216179370880127,0.56875,0.6789203730272597,0.56875,0.49398524540800964,0.8397323489189148,0.725,0.7800324675324676,0.725,0.6979062604062605,1.6727652549743652,0.1985313892364502,4585448,171371520.0,342743040.0
7,0.9782862901687622,0.625,0.6607272256728779,0.625,0.5906699260042283,0.8080348372459412,0.7,0.6950757575757576,0.7,0.6866883116883117,1.6920318603515625,0.19324827194213867,4585448,171371520.0,342743040.0
8,0.9679959177970886,0.64375,0.6406438871238621,0.64375,0.6322601324869928,0.7700562179088593,0.775,0.7803030303030303,0.7749999999999999,0.7756892230576441,1.6804859638214111,0.19478607177734375,4585448,171371520.0,342743040.0
9,0.9160772085189819,0.65,0.6420648775360661,0.65,0.6414519630904634,0.7353550791740417,0.725,0.7312229437229437,0.7250000000000001,0.7216259230965113,1.679976224899292,0.19039392471313477,4585448,171371520.0,342743040.0
10,0.88108971118927,0.65625,0.6636472627473639,0.65625,0.6434016151019123,0.706893652677536,0.725,0.7293290043290043,0.7250000000000001,0.7205436720142602,1.6766459941864014,0.18587827682495117,4585448,171371520.0,342743040.0
11,0.8277576923370361,0.69375,0.6995169082125604,0.69375,0.6836210453173517,0.666273295879364,0.725,0.7176136363636363,0.7250000000000001,0.7186507936507935,1.6764955520629883,0.1943669319152832,4585448,171371520.0,342743040.0
12,0.7943055748939514,0.69375,0.6964154848634121,0.69375,0.6864756126857886,0.6174896657466888,0.775,0.7749999999999999,0.7749999999999999,0.7749999999999999,1.6677465438842773,0.19372129440307617,4585448,171371520.0,342743040.0
13,0.7539639234542846,0.71875,0.7242063492063493,0.71875,0.7131017289545695,0.573747992515564,0.775,0.768939393939394,0.7749999999999999,0.7709899749373434,1.6757876873016357,0.1921389102935791,4585448,171371520.0,342743040.0
14,0.7237346768379211,0.73125,0.737696464292209,0.7312500000000001,0.7248744807197288,0.5333911776542664,0.8,0.8255633255633256,0.8,0.8021011608304649,1.6770763397216797,0.18764758110046387,4585448,171371520.0,342743040.0
15,0.7215790510177612,0.74375,0.7370801033591731,0.74375,0.7379917163528602,0.49437540769577026,0.85,0.8647727272727272,0.8500000000000001,0.8485230455818691,1.6626060009002686,0.18840980529785156,4585448,171371520.0,342743040.0
16,0.6575610160827636,0.8,0.7979676573426574,0.8,0.7955136592209594,0.4872455596923828,0.85,0.8854166666666666,0.8500000000000001,0.850326797385621,1.6573357582092285,0.18676090240478516,4585448,171371520.0,342743040.0
17,0.6123952984809875,0.80625,0.8035344355847405,0.8062499999999999,0.800812271803833,0.4475962370634079,0.85,0.8647727272727272,0.8500000000000001,0.8485230455818691,1.6641085147857666,0.18952155113220215,4585448,171371520.0,342743040.0
18,0.603540015220642,0.8125,0.8103729195068605,0.8125,0.8067809022716418,0.39538779854774475,0.85,0.8730769230769231,0.8500000000000001,0.85153452685422,1.6711885929107666,0.18880486488342285,4585448,171371520.0,342743040.0
19,0.5554351806640625,0.825,0.824882401191891,0.825,0.8203910564279676,0.40807313472032547,0.85,0.8730769230769231,0.8500000000000001,0.85153452685422,1.6860780715942383,0.18711066246032715,4585448,171371520.0,342743040.0
20,0.5247529149055481,0.84375,0.8408196669209256,0.84375,0.8404950491165302,0.35470931231975555,0.9,0.9045454545454545,0.9,0.9011278195488721,1.6806046962738037,0.18730854988098145,4585448,171371520.0,342743040.0
