subset_size,dataset,model,val_acc
50,REG,De-KAiT-Tiny,56.00000000000001
50,REG,De-KAiT-Small,57.99999999999999
50,TOR,De-KAiT-Tiny,92.0
50,TOR,De-KAiT-Small,96.0
50,VPN,De-KAiT-Tiny,90.0
50,VPN,De-KAiT-Small,92.5
100,REG,De-KAiT-Tiny,70.0
100,REG,De-KAiT-Small,69.0
100,TOR,De-KAiT-Tiny,96.0
100,TOR,De-KAiT-Small,99.0
100,VPN,De-KAiT-Tiny,85.0
100,VPN,De-KAiT-Small,83.75
200,REG,De-KAiT-Tiny,76.5
200,REG,De-KAiT-Small,79.5
200,TOR,De-KAiT-Tiny,99.5
200,TOR,De-KAiT-Small,100.0
200,VPN,De-KAiT-Tiny,91.25
200,VPN,De-KAiT-Small,96.25
400,REG,De-KAiT-Tiny,89.0
400,REG,De-KAiT-Small,89.25
400,TOR,De-KAiT-Tiny,99.75
400,TOR,De-KAiT-Small,99.75
400,VPN,De-KAiT-Tiny,99.375
400,VPN,De-KAiT-Small,99.6875
500,REG,De-KAiT-Tiny,92.4
500,REG,De-KAiT-Small,94.39999999999999
500,TOR,De-KAiT-Tiny,99.6
500,TOR,De-KAiT-Small,100.0
500,VPN,De-KAiT-Tiny,99.5
500,VPN,De-KAiT-Small,99.75
800,REG,De-KAiT-Tiny,95.25
800,REG,De-KAiT-Small,95.875
800,TOR,De-KAiT-Tiny,100.0
800,TOR,De-KAiT-Small,100.0
800,VPN,De-KAiT-Tiny,99.375
800,VPN,De-KAiT-Small,99.84375
1000,REG,De-KAiT-Tiny,96.7
1000,REG,De-KAiT-Small,97.89999999999999
1000,TOR,De-KAiT-Tiny,99.9
1000,TOR,De-KAiT-Small,100.0
1000,VPN,De-KAiT-Tiny,99.875
1000,VPN,De-KAiT-Small,100.0
1500,REG,De-KAiT-Tiny,98.26666666666668
1500,REG,De-KAiT-Small,98.26666666666668
1500,TOR,De-KAiT-Tiny,100.0
1500,TOR,De-KAiT-Small,100.0
1500,VPN,De-KAiT-Tiny,100.0
1500,VPN,De-KAiT-Small,100.0
1600,REG,De-KAiT-Tiny,97.9375
1600,REG,De-KAiT-Small,98.125
1600,TOR,De-KAiT-Tiny,100.0
1600,TOR,De-KAiT-Small,100.0
1600,VPN,De-KAiT-Tiny,99.921875
1600,VPN,De-KAiT-Small,100.0
2000,REG,De-KAiT-Tiny,98.5
2000,REG,De-KAiT-Small,99.0
2000,TOR,De-KAiT-Tiny,100.0
2000,TOR,De-KAiT-Small,100.0
2000,VPN,De-KAiT-Tiny,100.0
2000,VPN,De-KAiT-Small,99.9375
3200,REG,De-KAiT-Tiny,99.0625
3200,REG,De-KAiT-Small,99.3125
3200,TOR,De-KAiT-Tiny,100.0
3200,TOR,De-KAiT-Small,100.0
3200,VPN,De-KAiT-Tiny,100.0
3200,VPN,De-KAiT-Small,100.0
